pid,label,grupo relacionado,creador,medio,fecha de publicación,año de popularización,clase,localización,información,video,descripción
1_PanaMiguel,El Pana Miguel,Pana frescos,Newsflare,video,10/28/2018,2020,Shitposting,Mexico,https://meme.fandom.com/es/wiki/Mi_pana_Miguel,DhiHi1lpx74,"video de un gatito en el que está parado en dos patas, este era uno de los principales iconos del grupo llamado Los Panafrescos, el video original no tenía este proposito, la comunidad le dio este sentido"
2_MeElectrocutastePedrito,Me electrocutaste Pedrito,,maryshinys,video,8/1/2023,2023,Post-ironico/Normie,Perú,,OclVsJmPfYM,"video de una chica en Tik Tok, el cual recibió una donación y se mueve de manera erratica, esto lo hace imitando la tendencia de los directos npc, estos hacen referencia a un estilo de directos en el que la persona simula ser una especie de personaje IA en videojuegos, estos personajes estan diseñados para solo responden a los estimulos del jugador. En este caso, en el directo interactuan por medio de donaciones."
3_SkibidiToilet,Skibidi Toilet,Curifeos,DaFuq!?Boom!,video,2/7/2023,2023,Shitposting,,https://knowyourmeme.com/memes/subcultures/skibidi-toilet,WePNs-G7puA,"Seríe de videos que narran una batalla campal entre los Skibidi Toilet, los cuales son cabezas de personas en cuerpos de retretes, y los Camaraman. Estos son personas con cabeza de camara y cuerpo humano"
4_EsoTilin,Eso Tilín,S.D.L.G/Potaxies,TonyZan,video,3/19/2019,2022,Post-ironico/Normie,Perú,https://meme.fandom.com/es/wiki/Eso_tilin,J2_ABgGRp70,"video de un niño con 6 a 7 años llamado Luis Ángel reconocido como Tilín al cual le pagan 5 soles peruanos para realizar una danza, al final se termina cayendo por tratar de hacer una acrobacia. El nombre de este meme se refiere a la manera en la que el narrador del video, anima a Tilín a bailar diciendole: Eso Tilín, wow tilín, a la mierda Tilín. Según los medios locales, el baile que Tilín hace, es un baile tradicional de los Andes llamado La Danza de la Tijera"
5_LaCaidaDeEdgar,La caida de Edgar,S.D.L.G,kalosmail,video,5/8/2006,2006,Tradicional,Mexico,https://meme.fandom.com/es/wiki/La_caída_de_Edgar,b89CnP0Iq30,"video de un niño que está cruzando una quebrada con sus amigos, pero estos les juegan una broma y hacen que se caiga a un río. Este se considera uno de los grandes clasicos de la comedia latinoamericana en redes sociales."
6_Pacman,:v Pacman,S.D.L.G,Facebook,emoticon,5/22/2012,2013,Momo,,https://meme.fandom.com/es/wiki/V-_Emoticon_Pacman,,"Emoticono creado por Facebook en conmemoración al 30 aniversario de Pac-man, este emoticono lo utilizó el grupo de facebook llamado: Seguidores De La Grasa, como uno de sus simbolos para comunicar el sentido de la ironia, o el absurdo en un mensaje, sin necesidad de escribirlo"
7_PerroSalchichaGordoBachicha,Perro salchicha gordo bachicha,,María Elena Walsh,canción,1966,2023,Normie,Argentina,https://meme.fandom.com/es/wiki/Perro_salchicha_gordo_bachicha,E2vbPS93YZA,"Canción infantil tradicional argentina que fue re descubierta por Tik Tok en 2023, la re interpretación surge cuando diferentes grupos de artistas animaron la canción del perro salchicha gordo bachicha, dandole un nuevo sentido tanto humoristico, como memetico al reconocer el personaje de la canción y asociarlo con otros perros de internet. Lo importante de este meme es el concepto de un ""perro salchicha gordito"" "
8_CKronk,C Kronk,Curifeos/Shitposters,Abraham Aceves,imagen,12/28/2017,2018,Shitposting,,https://meme.fandom.com/es/wiki/C_Kronk,70llPQizVxM,"c kronk es un meme de una imagen macro del personaje Kronk de la película animada de 2000, The Emperor's New Groove, en donde aparece con una sonrisa macabra con el texto ""c kronk"". Este meme ha sido uno de los primeros memes del shitposting hispano y se le acredita al grupo polémico de Facebook, La Isla Curiosa y Fea. Originalmente, el uso del meme era de una manera similar al meme de ""c mamó"" pero más irónico. Cuando el meme agarró popularidad gracias a los Panafrescos, su uso evolucionó para usos sin sentidos o bizarros en el auge del shitposting hispano y múltiples variantes relacionadas al meme. El video adjunto muestra una de las primeras relaciones que tuvo este meme con la canción El Taxi de Osmani Garcia, junto a Pitbull. Canción que en su momento era popular, por lo que su uso con el modelo en Unity de Kronk, le agrega el valor de la ironía."
9_EsoBrad,Eso Brad,Pana frescos,Ashraf Awad,video,2010,2019,Shitposting,Egipto,https://en.everybodywiki.com/Eso_Brad_(meme),4XbRlcmzH4U,"Eso Brad es un meme de una animación egipcia creada por el animador Ashraf Awad. El meme se hizo popular entre los latinoamericanos y se volvió famoso en 2019. El meme surge puesto que el personaje ""Rosh"" tiene una similitud con el personaje caracteristico ""Brad"" de la serie Kick Buttowski, esta serie es parte fundamental de la infacia de muchos jovenes en latioamerica, por lo que no es de extrañar su recurrencia en los memes latinoamericanos. En la serie Brad es el hermano mayor del protagonista Kick, este le juega bromas a su hermano y hace el papel de antagonista, el meme hace referencia a su frase iconica ""Eso Brad"", la cual utiliza para felicitarse a sí mismo o cuando está contento por algo."
10_Jiafei,Jiafei,Potaxies,MISS A' (????),imagen,2021,2021,Normie,China,https://knowyourmeme.com/memes/jiafei,je9RbCZVzR4,"Jiafei se refiere a una tendencia de TikTok de cuentas de bots chinas que volvieron a publicar videos de Douyin de mujeres asiáticas atractivas e intentaron vender productos a través de anuncios absurdos. Se decía que la icónica imagen de Jiafei era el rostro de las estrellas de K-Pop Wang Feifei y Meng Jia fotoshopeadas juntas, pero se revelá en octubre de 2023 que la imagen original es de una modelo china llamada Dai. Jiafei se convirtió en un símbolo del discurso de Stan Twitter y provocó múltiples cuentas parodia que explotaban efectos de sonido y conceptos satíricos como secuestro a través de direcciones IP. Jiafei se menciona junto con otros memes como Skinny Girl Walking Sideways, Super Idol's Smile y the Badussy War."
